Fecha,Actividad,Horario,Rango_de_edad,Duracion,Centro,Direccion,Distrito,Telefono
2023-12-03,Fitness acuático MesD,13:00,De 15 a 64 años,45 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",Moncloa-Aravaca,913571228
2023-12-03,Natación acondicionamiento,09:00,De 15 a 64 años,45 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",Moncloa-Aravaca,913571228
2023-12-03,Autoprotección para las mujeres,12:00,De 15 a 64 años,120 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
2023-12-03,Autoprotección para las mujeres,10:00,De 15 a 64 años,120 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",Arganzuela,915063616
2023-12-03,Natación acondicionamiento,09:00,De 16 a 64 años,45 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",Arganzuela,915063616
2023-12-03,Prueba de nivel natación,"09:00, 09:30, 10:00, 10:30, 11:00, 11:30, 12:00, 12:30, 13:00, 13:30, 14:00, 14:30",,15 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",Arganzuela,915063616
2023-12-03,Cubo Gym Cross Training/Funcional,"09:00, 10:00, 11:00, 12:00, 13:00, 16:00, 17:00, 18:00, 19:00",De 15 a 64 años,60 minutos,Cubo Gym Las Tablas,"Calle Fromista Esq Calle Castiello de Jaca, 28050, Madrid",Fuencarral - El Pardo,915880432
2023-12-03,Cubo Gym Cross Training/Funcional,"09:00, 10:00, 11:00, 12:00, 13:00, 16:00, 17:00, 18:00, 19:00",De 15 a 64 años,45 minutos,Cubo Gym Madrid Río,"Paseo Bajo de la Virgen del Puerto, 28005, Madrid",Centro,915880432
2023-12-03,Cubo Gym Cross Training/Funcional,"09:00, 10:00, 11:00, 12:00, 13:00, 16:00, 17:00, 18:00, 19:00",De 15 a 64 años,60 minutos,Cubo Gym Retiro,"Pª de Fernán Núñez, (en ""Capricho Castillete""), 28009, Madrid",Retiro,915880432
2023-12-03,Natación acondicionamiento,"09:00, 13:15",De 15 a 64 años,45 minutos,El Espinillo,"Carretera de Villaverde a Vallecas, 19, 28041, Madrid",Villaverde,913603265
2023-12-03,Prueba de nivel natación,"09:45, 10:15",,15 minutos,El Espinillo,"Carretera de Villaverde a Vallecas, 19, 28041, Madrid",Villaverde,913603265
2023-12-03,Ciclo sala,11:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
2023-12-03,Fuerza General BodyPump,10:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
2023-12-03,Ciclo sala,10:00,De 15 a 64 años,45 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369
2023-12-03,Fuerza general,10:15,De 15 a 64 años,60 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",Latina,915251059
2023-12-03,Gimnasia acuática,10:15,De 15 a 64 años,45 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",Latina,915251059
2023-12-03,Natación acondicionamiento,13:15,De 15 a 64 años,45 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",Latina,915251059
2023-12-03,Pilates,13:00,De 15 a 64 años,60 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",Latina,915251059
2023-12-03,Prueba de nivel NATACIÓN,"10:00, 11:00, 14:00",A partir de 6 años,15 minutos,Gallur,"Calle de Gallur, 2, 28047, Madrid",Latina,915251059
2023-12-03,Natación acondicionamiento,09:45,De 15 a 64 años,45 minutos,Hortaleza,"Carretera Estación de Hortaleza, 11, 28033, Madrid",Hortaleza,913821965
2023-12-03,Natación acondicionamiento,10:00,De 15 a 64 años,45 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555
2023-12-03,Natación acondicionamiento,09:15,De 15 a 64 años,45 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555
2023-12-03,Cubo Gym Cross Training/Funcional,11:30,De 15 a 64 años,45 minutos,Las Cruces,"Avenida de los Poblados, 72, 28044, Madrid",Latina,915888600
2023-12-03,Fitness acuático,09:00,De 15 a 64 años,45 minutos,Marqués de Samaranch,"Paseo Imperial, 18, 28005, Madrid",Arganzuela,913642240
2023-12-03,Natación acondicionamiento,09:45,De 16 a 64 años,45 minutos,Marqués de Samaranch,"Paseo Imperial, 18, 28005, Madrid",Arganzuela,913642240
2023-12-03,Carrera Acuática Express,10:30,De 15 a 64 años,30 minutos,Palomeras,"Calle del Tranvía de Arganda, 4, 28031, Madrid",Puente de Vallecas,917774901
2023-12-03,Fitness Acuático MeD Express,11:30,De 15 a 64 años,30 minutos,Palomeras,"Calle del Tranvía de Arganda, 4, 28031, Madrid",Puente de Vallecas,917774901
2023-12-03,Natación acondicionamiento N1,"09:45, 13:30",De 18 a 64 años,45 minutos,Palomeras,"Calle del Tranvía de Arganda, 4, 28031, Madrid",Puente de Vallecas,917774901
2023-12-03,Fitness Acuatico,09:30,De 15 a 64 años,45 minutos,Pradillo,"Calle de Pradillo 33, 28002, Madrid",Chamartín,914137105
2023-12-03,Autoprotección para las mujeres,11:00,De 15 a 64 años,120 minutos,Torrespaña,"Calle del Alcalde Sáinz de Baranda, 94, 28007, Madrid",Salamanca,917654330
