Fecha,Actividad,Horario,Rango_de_edad,Duracion,Centro,Direccion,Distrito,Telefono
2023-11-28,Entrenamiento por Intervalos,13:15,De 15 a 64 años,30 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-28,Fitness,20:15,De 15 a 64 años,60 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-28,Gimnasia acuática,20:15,De 15 a 64 años,45 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-28,Natación acondicionamiento,"13:00, 15:45",De 15 a 64 años,45 minutos,Alfredo Goyeneche,"Calle del Arroyo de Pozuelo, 99, 28023, Madrid",,
2023-11-28,Aletas acondicionamiento,16:15,De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-28,Combinada sala-piscina,19:15,De 15 a 64 años,60 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-28,Correr por Madrid,19:30,De 15 a 64 años,90 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-28,Cubo Gym Cross Training/Funcional,"19:15, 20:00",De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-28,Fitness,19:15,De 15 a 64 años,60 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-28,Fitness acuático MesD,"15:30, 16:15, 19:30",De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-28,Marcha nórdica por Madrid,19:00,De 15 a 64 años,90 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-28,Natación acondicionamiento,"14:15, 15:30",De 15 a 64 años,45 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-28,Prueba de nivel natación,"13:00, 16:15, 16:30, 17:00, 20:15",A partir de 6 años,5 minutos,Aluche,"Avenida de las Águilas, 14, 28044, Madrid",,
2023-11-28,Cuerpo y mente,16:00,,60 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-28,Fuerza GAP,"13:00, 20:00",,60 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-28,Gimnasia acuática,13:15,,45 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-28,Natación acondicionamiento,15:30,,45 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-28,Pilates,17:00,,60 minutos,Ángel Nieto,"Calle del Payaso Fofó, 7, 28018, Madrid",,
2023-11-28,Caminar por Madrid,11:45,,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Ciclo sala,"17:45, 20:30",De 15 a 64 años,45 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Corredores por Madrid,19:20,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Entrenamiento funcional,"12:00, 16:30",De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Entrenamiento por intervalos,"14:30, 15:50, 18:50",De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Estiramientos relajación,13:25,De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Fitness,18:05,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Fitness B. Pump,20:45,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Fuerza CORE,"15:20, 18:20",De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Fuerza GAP,20:45,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Gimnasia acuática,20:10,De 15 a 64 años,45 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Gimnasia suave,"12:20, 17:00",De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Gimnasia suave B. Balance,14:15,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Pilates Embarazadas,11:40,De 16 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Prueba de nivel natación,18:45,A partir de 6 años,5 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437.0
2023-11-28,Ciclo sala,12:00,De 15 a 64 años,45 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-28,Correr por Madrid montañismo,19:30,De 15 a 64 años,90 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-28,Cross Training,16:15,De 15 a 64 años,45 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-28,Cubo Gym Cross Training/Funcional,"12:00, 15:30",De 15 a 64 años,45 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-28,Marcha nórdica por Madrid,19:00,De 15 a 64 años,90 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-28,Natación acondicionamiento,"13:15, 16:00, 19:30",De 17 a 64 años,45 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-28,Triatlón por Madrid,"19:30, 20:30",De 15 a 64 años,60 minutos,Barajas,"Avenida de Logroño, 70, 28042, Madrid",Barajas,913294219.0
2023-11-28,Ciclo sala,"18:15, 20:15",De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Circuito fitness,19:15,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Cubo Gym Cross Training/Funcional,"18:15, 19:15",De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Cuerpo mente,17:00,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Entrenamiento en suspensión,20:30,De 16 a 64 años,30 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Fitness Acuatico,"16:15, 20:15",De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Gimnasia acuática,15:30,De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Natación acondicionamiento,20:15,De 15 a 64 años,45 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Pilates,16:00,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Yoga,19:15,De 15 a 64 años,60 minutos,Blanca Fernández Ochoa,"Calle de Monseñor Óscar Romero, 41, 28025, Madrid",,
2023-11-28,Aletas acondicionamiento,12:30,De 15 a 64 años,45 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Cubo Gym Cross Training/Funcional,"12:45, 16:00",De 15 a 64 años,45 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Fitness,15:45,De 15 a 64 años,60 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Natación acondicionamiento,11:45,De 15 a 64 años,45 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Pilates MesD,18:00,De 15 a 64 años,60 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Prueba de nivel natación para CDM Casa de Campo,"12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 17:00, 17:30, 18:00, 19:30, 20:30",A partir de 6 años,5 minutos,Casa de Campo,"Paseo Puerta del Ángel, 7, 28011, Madrid",,
2023-11-28,Entrenamiento Funcional MesD,16:00,De 16 a 64 años,60 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Gimnasia acuatica,13:30,De 16 a 64 años,45 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Natación acondicionamiento,"15:00, 15:45, 18:45, 20:15",De 16 a 64 años,45 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Pilates INICIACIÓN MesD,15:00,De 16 a 64 años,60 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Pilates MesD,21:00,De 16 a 64 años,60 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Prueba de nivel natación,"12:00, 12:30, 13:00, 13:30, 14:00, 14:30, 15:00, 15:30, 16:00, 16:30, 19:00, 19:30, 20:00, 20:30",,15 minutos,Centro Integrado Arganzuela,"Calle de Canarias, 17, 28045, Arganzuela.",,
2023-11-28,Aerofitness,20:00,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-28,Combinada sala,15:30,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-28,Gimnasia Acuática,19:30,De 15 a 64 años,45 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-28,Padel acondicionamiento,13:30,,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047.0
2023-11-28,Actividad física y juego (preinfantil): Predanza,16:30,,45 minutos,Ciudad de los Poetas,"Calle de Antonio Machado, 12, 28035, Madrid",,
2023-11-28,Gimnasia suave,19:30,De 15 a 74 años,60 minutos,Ciudad de los Poetas,"Calle de Antonio Machado, 12, 28035, Madrid",,
2023-11-28,Pilates,16:30,De 15 a 64 años,60 minutos,Ciudad de los Poetas,"Calle de Antonio Machado, 12, 28035, Madrid",,
2023-11-28,Yoga,19:30,De 15 a 64 años,60 minutos,Ciudad de los Poetas,"Calle de Antonio Machado, 12, 28035, Madrid",,
