Fecha,Actividad,Horario,Rango de edad,Duración,Centro,Dirección,Distrito,Teléfono
31-07-2023,Baile,11:15,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Ciclo sala,11:15,De 15 a 64 años,45 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Entrenamiento funcional,12:30,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Entrenamiento funcional,20:15,De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Entrenamiento por intervalos,18:30,De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Estiramientos relajación,20:00,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Fitness,"10:00, 21:00",De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Fuerza ABDOMEN,18:00,De 15 a 64 años,30 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Fuerza GAP,"08:30, 17:30",De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Gimnasia suave,08:30,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Gimnasia suave B. Balance,10:00,De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Pilates,"12:30, 14:15, 17:00",De 15 a 64 años,60 minutos,Antonio Díaz Miguel,"Calle Joaquín Dicenta, 1, 28029, Madrid",Tetuán,913145437
31-07-2023,Fitness,10:00,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047
31-07-2023,Gimnasias suaves,11:00,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047
31-07-2023,Pickleball,"12:00, 13:00",De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047
31-07-2023,Pilates MesD,09:00,De 15 a 64 años,60 minutos,Cerro Almodóvar,"Calle Cerro Almodóvar, 9, 28007, Madrid",Villa de Vallecas,913314047
31-07-2023,Combinada piscina,09:45,De 15 a 64 años,30 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020
31-07-2023,Fitness,09:00,De 15 a 64 años,60 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020
31-07-2023,Fitness Acuático MesD,19:00,De 15 a 64 años,45 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020
31-07-2023,Natación acondicionamiento,"08:15, 09:00, 10:30, 20:00",De 15 a 64 años,45 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020
31-07-2023,Pilates,10:00,A partir de 15 años,60 minutos,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020
31-07-2023,Prueba de nivel natación,"08:15, 17:00",A partir de 6 años,,Concepción,"Calle de José del Hierro, 5, 28027, Madrid",Ciudad Lineal,914039020
31-07-2023,Cubo Gym Cross Training/Funcional,"07:00, 08:00, 09:00, 10:00, 11:00, 18:00, 19:00, 20:00, 21:00",De 15 a 64 años,60 minutos,Cubo Gym Las Tablas,"Calle Fromista Esq Calle Castiello de Jaca, 28050, Madrid",Fuencarral-El Pardo,915880432
31-07-2023,Cubo Gym Cross Training/Funcional,"07:00, 08:00, 09:00, 10:00, 11:00, 18:00, 19:00, 20:00, 21:00",De 15 a 64 años,45 minutos,Cubo Gym Madrid Río,"Paseo Bajo de la Virgen del Puerto, 28005, Madrid",Centro,915880432
31-07-2023,Cubo Gym Cross Training/Funcional,"07:00, 08:00, 09:00, 10:00, 11:00, 18:00, 19:00, 20:00, 21:00",De 15 a 64 años,60 minutos,Cubo Gym Retiro,"Pª de Fernán Núñez, (en ""Capricho Castillete""), 28009, Madrid",Retiro,915880432
31-07-2023,Combinada sala-piscina,09:00,De 15 a 64 años,30 minutos,El Quijote,"Calle Numancia, 11, 28039, Madrid",Moncloa-Aravaca,914599871
31-07-2023,Entrenamiento por intervalos,08:30,De 15 a 64 años,45 minutos,El Quijote,"Calle Numancia, 11, 28039, Madrid",Moncloa-Aravaca,914599871
31-07-2023,Pilates,"09:30, 12:00",De 15 a 64 años,60 minutos,El Quijote,"Calle Numancia, 11, 28039, Madrid",Moncloa-Aravaca,914599871
31-07-2023,Prueba de nivel de natación,11:30,De 6 a 64 años,10 minutos,El Quijote,"Calle Numancia, 11, 28039, Madrid",Moncloa-Aravaca,914599871
31-07-2023,Ciclo sala,19:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
31-07-2023,Entrenamiento funcional.,18:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
31-07-2023,Fitness BodyCombat,18:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
31-07-2023,Fitness Cross,"11:00, 20:00",De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
31-07-2023,Fuerza General BodyPump,19:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
31-07-2023,Fuerza General HIIT,10:00,De 15 a 64 años,60 minutos,Francisco Fernández Ochoa,"Calle Catorce Olivas, s/n, 28054, Madrid",Carabanchel,915883731
31-07-2023,Ciclo sala,"11:00, 19:45",De 15 a 64 años,45 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369
31-07-2023,Fitness,"10:00, 18:45",De 15 a 64 años,60 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369
31-07-2023,Fuerza GAP MesD,20:30,De 15 a 64 años,60 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369
31-07-2023,Gimnasia acuatica,11:45,De 15 a 64 años,45 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369
31-07-2023,Natación acondicionamiento,07:30,De 15 a 64 años,45 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369
31-07-2023,Pilates MesD,"08:15, 12:30, 17:00",De 15 a 64 años,60 minutos,Fuente del Berro,"Calle de Elvira, 36, 28028, Madrid",Salamanca,915881369
31-07-2023,Ciclo sala,12:15,De 15 a 64 años,45 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231
31-07-2023,Circuito fitness,10:00,De 15 a 64 años,60 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231
31-07-2023,Fuerza en sala multitrabajo,"09:00, 16:00",De 15 a 64 años,60 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231
31-07-2023,Pilates,"11:00, 18:00",De 15 a 64 años,60 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231
31-07-2023,Estiramientos relajación,20:30,De 18 a 65 años,30 minutos,La Almudena,"Calle de Nicolás Salmerón, 4, 28032, Madrid",Ciudad Lineal,915882355
31-07-2023,Pilates Básico,"09:00, 13:00, 21:00",De 18 a 65 años,60 minutos,La Almudena,"Calle de Nicolás Salmerón, 4, 28032, Madrid",Ciudad Lineal,915882355
31-07-2023,Pruebas de nivel natación,"10:00, 10:15, 10:30, 10:45",,15 minutos,La Almudena,"Calle de Nicolás Salmerón, 4, 28032, Madrid",Ciudad Lineal,915882355
31-07-2023,Aerofitness,09:00,De 15 a 64 años,60 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555
31-07-2023,Fitness acuatico,"10:45, 16:00, 19:00",De 15 a 64 años,45 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555
31-07-2023,Fuerza GAP,19:45,De 15 a 64 años,60 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555
31-07-2023,Natación acondicionamiento,"10:00, 13:00, 18:00",De 15 a 64 años,45 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555
31-07-2023,Pilates,11:30,De 15 a 64 años,60 minutos,La Masó,"Calle La Masó, 80, 28034, Madrid",Fuencarral - El Pardo,917397555
31-07-2023,Ciclo sala,"11:00, 19:00",De 15 a 64 años,45 minutos,Las Cruces,"Avenida de los Poblados, 72, 28044, Madrid",Latina,915888600
31-07-2023,Fitness,10:00,De 15 a 64 años,50 minutos,Las Cruces,"Avenida de los Poblados, 72, 28044, Madrid",Latina,915888600
31-07-2023,Gimnasia suave,09:00,De 15 a 64 años,50 minutos,Las Cruces,"Avenida de los Poblados, 72, 28044, Madrid",Latina,915888600
31-07-2023,Tonificación GAP,18:00,De 15 a 64 años,50 minutos,Las Cruces,"Avenida de los Poblados, 72, 28044, Madrid",Latina,915888600
