Centro,Distrito,Teléfono
Alfredo Goyeneche,Moncloa-Aravaca,913571228
Aluche,Latina,917062868
Antonio Díaz Miguel,Tetuán,913145437
Barajas,Barajas,913294219
Blanca Fernández Ochoa,Carabanchel,914661278
Casa de Campo,Moncloa-Aravaca,914630050
Centro Integrado Arganzuela,Arganzuela,915063616
Cerro Almodóvar,Villa de Vallecas,913314047
Ciudad de los Poetas,Moncloa-Aravaca,913732739
Concepción,Ciudad Lineal,914039020
Cubo Gym Las Tablas,Fuencarral-El Pardo,915880432
Cubo Gym Madrid Río,Centro,915880432
Cubo Gym Retiro,Retiro,915880432
Daoíz y Velarde,Retiro,914338950
El Espinillo,Villaverde,913603265
El Quijote,Moncloa-Aravaca,914599871
Entrevías,Puente de Vallecas,917854214
Estadio Vallehermoso,Chamberí,914804751
Eva Duarte,Salamanca,913553201
Faustina Valladolid,Vicálvaro,917723591
Fernando Martín,Moncloa-Aravaca,914507344
Francisco Fernández Ochoa,Carabanchel,915883731
Fuente del Berro,Salamanca,915881369
Gallur,Latina,915251059
Gimnasio Moscardó,Salamanca,913553201
Hortaleza,Hortaleza,913821965
José María Cagigal,Moncloa-Aravaca,915413716
Juan de Dios Román,Villa de Vallecas,914801231
La Almudena,Ciudad Lineal,915882355
La Bombilla,Moncloa-Aravaca,917588677
La Chopera,Retiro,914201154
La Elipa,Moratalaz,914303511
La Fundi,Arganzuela,915288879
La Masó,Fuencarral-El Pardo,917397555
Las Cruces,Latina,915888600
Luis Aragonés,Hortaleza,913003612
Margot Moles,Vicálvaro,917769874
Marqués de Samaranch,Arganzuela,913642240
María Jesús Rosa,Fuencarral-El Pardo,914800476
Miguel Guillén Prim,Villa de Vallecas,913053451
Moratalaz,Moratalaz,917727100
Orcasitas,Usera,914692374
Orcasur,Usera,913171062
Palomeras,Puente de Vallecas,917774901
Plata y Castañar,Villaverde,915051532
Playa Victoria,Tetuán,915701841
Pradillo,Chamartín,914137105
Pueblo Nuevo,Ciudad Lineal,913770251
Raúl González,Villaverde,917953792
San Blas,San Blas-Canillejas,913209818
San Cristóbal,Villaverde,917950911
San Juan Bautista,Ciudad Lineal,914164259
Tenis Casa de Campo,Moncloa-Aravaca,914649617
Torrespaña,Salamanca,917654330
Triángulo de Oro,Tetuán,915714117
Vicente del Bosque,Fuencarral-El Pardo,913147943
Victoria Hernández,Villaverde,913180857
Wilfred Agbonavbare,Puente de Vallecas,917854751
Ángel Nieto,Puente de Vallecas,914781492
